frame, x, y, z
8,175.482,164.289,1256
8,210.346,165.597,1252
8,245.311,167.378,1243
8,280.542,169.034,1243
8,315.895,170.486,1247
8,350.929,171.792,1252
8,386.036,172.936,1247
8,421.361,173.927,1256
8,457.306,174.641,1265
8,176.008,186.006,1247
8,210.605,187.69,1243
8,245.249,189.733,1252
8,280.223,191.536,1243
8,315.484,193.019,1238
8,350.235,194.295,1247
8,385.18,195.357,1243
8,420.325,196.277,1252
8,455.988,196.986,1252
8,176.386,209.307,1243
8,210.725,210.754,1243
8,244.984,212.671,1247
8,279.535,214.417,1238
8,314.454,215.828,1243
8,349.428,216.914,1238
8,384.719,217.733,1243
8,420.291,218.395,1238
8,456.448,218.868,1252
8,176.666,233.399,1229
8,210.732,234.537,1243
8,244.574,236.081,1225
8,278.627,237.604,1234
8,313.248,238.831,1234
8,348.637,239.622,1238
8,384.64,240.078,1238
8,421.033,240.355,1234
8,457.803,240.546,1247
8,176.883,257.764,1225
8,210.68,258.606,1243
8,244.153,259.721,1221
8,277.77,260.947,1221
8,312.151,261.938,1234
8,348.061,262.367,1234
8,384.856,262.424,1238
8,422.112,262.3,1234
8,459.487,262.204,1243
8,176.992,282.001,1221
8,210.593,282.575,1247
8,243.862,283.338,1234
8,277.264,284.257,1221
8,311.489,285.006,1221
8,347.896,285.079,1229
8,385.27,284.806,1225
8,423.129,284.372,1225
8,461.008,284.017,1234
9,175.002,102.002,1247
9,210.146,102.179,1256
9,245.411,102.525,1261
9,280.799,103.158,1261
9,316.5,104.014,1261
9,353.088,105.082,1265
9,390.126,106.173,1265
9,427.525,107.158,1270
9,465.003,107.983,1275
9,175.133,122.726,1265
9,210.158,123.209,1247
9,245.316,123.942,1256
9,280.612,124.909,1261
9,316.164,126.03,1261
9,352.248,127.277,1256
9,388.707,128.513,1256
9,425.528,129.619,1261
9,462.563,130.52,1275
9,175.38,143.355,1256
9,210.279,144.211,1252
9,245.325,145.461,1247
9,280.579,146.806,1256
9,316.007,148.175,1256
9,351.54,149.572,1256
9,387.286,150.923,1252
9,423.345,152.143,1256
9,459.884,153.105,1275
9,175.685,164.288,1256
9,210.433,165.557,1252
9,245.323,167.301,1243
9,280.512,168.958,1247
9,315.859,170.487,1247
9,350.896,171.967,1252
9,386.037,173.362,1247
9,421.425,174.642,1256
9,457.485,175.647,1265
9,176.008,186.006,1243
9,210.558,187.65,1243
9,245.2,189.655,1247
9,280.194,191.46,1243
9,315.484,193.021,1238
9,350.204,194.471,1247
9,385.125,195.781,1247
9,420.271,196.992,1252
9,455.987,197.994,1256
9,176.313,209.304,1243
9,210.624,210.712,1243
9,244.911,212.594,1247
9,279.507,214.342,1238
9,314.455,215.829,1243
9,349.397,217.088,1238
9,384.642,218.156,1243
9,420.191,219.108,1238
9,456.393,219.872,1252
9,176.596,233.395,1229
9,210.637,234.496,1243
9,244.506,236.006,1225
9,278.602,237.53,1234
9,313.246,238.83,1234
9,348.608,239.791,1243
9,384.563,240.499,1238
9,420.934,241.068,1234
9,457.753,241.549,1247
9,176.847,257.762,1225
9,210.618,258.569,1243
9,244.104,259.651,1221
9,277.752,260.875,1221
9,312.15,261.933,1234
9,348.035,262.535,1234
9,384.791,262.846,1238
9,422.037,263.014,1234
9,459.462,263.206,1243
9,176.991,282.001,1221
9,210.562,282.543,1247
9,243.831,283.277,1234
9,277.251,284.197,1225
9,311.489,285.007,1221
9,347.872,285.257,1229
9,385.217,285.235,1225
9,423.078,285.088,1229
9,461.008,285.017,1234
10,174.002,103.002,1252
10,209.4,102.909,1256
10,244.946,102.969,1261
10,280.593,103.347,1261
10,316.502,104.012,1261
10,353.179,105.032,1265
10,390.243,106.131,1270
10,427.614,107.138,1270
10,465.005,107.982,1275
10,174.375,123.477,1265
10,209.609,123.737,1247
10,244.992,124.242,1256
10,280.489,125.011,1261
10,316.199,125.995,1261
10,352.364,127.206,1256
10,388.856,128.455,1261
10,425.661,129.585,1261
10,462.612,130.506,1275
10,174.896,143.831,1256
10,209.95,144.521,1247
10,245.141,145.624,1247
10,280.519,146.848,1256
10,316.044,148.139,1256
10,351.648,149.512,1256
10,387.437,150.871,1256
10,423.498,152.111,1256
10,459.964,153.089,1275
10,175.467,164.499,1256
10,210.314,165.664,1252
10,245.267,167.346,1243
10,280.499,168.961,1243
10,315.879,170.468,1247
10,350.971,171.932,1247
10,386.155,173.328,1247
10,421.556,174.622,1256
10,457.557,175.637,1261
10,176.008,186.006,1247
10,210.601,187.609,1247
10,245.245,189.617,1252
10,280.221,191.438,1243
10,315.484,193.021,1238
10,350.236,194.462,1247
10,385.177,195.77,1243
10,420.318,196.987,1252
10,455.976,197.994,1252
10,176.402,209.225,1243
10,210.751,210.602,1243
10,245.02,212.513,1247
10,279.573,214.305,1238
10,314.471,215.83,1243
10,349.387,217.095,1238
10,384.597,218.162,1247
10,420.085,219.117,1238
10,456.175,219.879,1252
10,176.693,233.315,1229
10,210.781,234.383,1243
10,244.642,235.918,1225
10,278.699,237.488,1234
10,313.278,238.828,1238
10,348.553,239.806,1243
10,384.396,240.516,1238
10,420.625,241.085,1234
10,457.273,241.558,1247
10,176.907,257.717,1225
10,210.733,258.487,1243
10,244.231,259.578,1225
10,277.854,260.838,1221
10,312.182,261.932,1234
10,347.922,262.553,1234
10,384.486,262.868,1238
10,421.509,263.033,1234
10,458.707,263.213,1243
10,176.993,281.999,1221
10,210.625,282.498,1247
10,243.919,283.227,1238
10,277.322,284.169,1225
10,311.487,285.008,1221
10,347.677,285.272,1229
10,384.771,285.254,1225
10,422.348,285.103,1229
10,460.008,285.017,1238
11,174.002,102.002,1252
11,209.357,102.115,1256
11,244.894,102.465,1261
11,280.565,103.139,1261
11,316.503,104.014,1261
11,353.216,105.086,1265
11,390.29,106.146,1265
11,427.643,107.118,1270
11,465.004,107.972,1275
11,174.095,122.412,1265
11,209.34,122.891,1247
11,244.789,123.714,1256
11,280.381,124.798,1261
11,316.173,125.978,1261
11,352.391,127.195,1256
11,388.896,128.329,1261
11,425.684,129.34,1261
11,462.606,130.216,1275
11,174.316,142.716,1256
11,209.446,143.64,1247
11,244.799,145.092,1247
11,280.353,146.645,1256
11,316.013,148.114,1256
11,351.683,149.437,1256
11,387.481,150.6,1256
11,423.523,151.622,1256
11,459.959,152.491,1275
11,174.621,163.382,1256
11,209.617,164.803,1256
11,244.823,166.851,1247
11,280.301,168.788,1243
11,315.863,170.455,1247
